[10-Oct-2012 23:31:33] PHP Fatal error:  Class '\viewClasses\index' not found in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 5
[10-Oct-2012 23:32:28] PHP Fatal error:  Class '\viewClasses\index.php' not found in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 5
[10-Oct-2012 23:33:19] PHP Fatal error:  Class '\viewClasses\Index.php' not found in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 5
[10-Oct-2012 23:34:40] PHP Fatal error:  Class '\viewClasses\Index.php' not found in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 8
[10-Oct-2012 23:35:58] PHP Fatal error:  Class 'viewClasses\Index.php' not found in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 8
[10-Oct-2012 23:36:21] PHP Fatal error:  Class 'viewClasses/Index.php' not found in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 8
[10-Oct-2012 23:38:54] PHP Warning:  require_once(\viewClasses\Indexphp) [<a href='function.require-once'>function.require-once</a>]: failed to open stream: No such file or directory in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 6
[10-Oct-2012 23:38:54] PHP Fatal error:  require_once() [<a href='function.require'>function.require</a>]: Failed opening required '\viewClasses\Indexphp' (include_path='.;D:\Web\xampplite\php\PEAR') in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 6
[10-Oct-2012 23:45:10] PHP Fatal error:  Class '\controller\Index' not found in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 12
[14-Oct-2012 22:23:06] PHP Fatal error:  Class 'controller\AbstractController' not found in D:\Web\xampplite\htdocs\Guillotine\php\controller\Index.php on line 7
[14-Oct-2012 22:24:57] PHP Fatal error:  Namespace declaration statement has to be the very first statement in the script in D:\Web\xampplite\htdocs\Guillotine\php\controller\Index.php on line 5
[14-Oct-2012 22:52:24] PHP Catchable fatal error:  Argument 1 passed to controller\AbstractController::__construct() must be an array, string given, called in D:\Web\xampplite\htdocs\Guillotine\php\ajax.php on line 14 and defined in D:\Web\xampplite\htdocs\Guillotine\php\controller\AbstractController.php on line 9
